Fiction,Sci-Fict,Baby_Toddler,  Teen, Manga,Art&Hist,SelfImprov,Cooking, Games, Gifts,Journals,  News,NonFict,HairyPottery,Mysteries,Thrillers,Classics,Poetry,Romance,Horror
0.555,0.139,-0.208,0.855,0.074,-0.001,0.476,-0.204,0.51,-0.026,0.342,-0.701,-1.337,-0.45,-0.146,-0.1,-0.988,-0.022,1.255,1.377
-1.167,1.218,3.357,-4.747,-1.007,-0.014,-3.767,0.583,0.62,0.107,-0.717,2.754,4.9,1.471,-1.099,-0.746,2.285,0.077,-4.453,-3.589
-1.156,-2.396,-3.635,2.324,1.032,0.022,2.861,0.212,-3.419,-0.018,-0.714,-0.322,-0.121,0.205,2.261,1.539,1.77,0.005,-0.09,-1.907
2.165,2.065,2.129,0.37,-0.569,-0.018,-0.927,-0.642,3.692,-0.049,1.334,-1.446,-3.117,-1.225,-1.983,-1.351,-3.646,-0.056,3.072,4.678
